embedding_model,corpus,query_id,difficulty,category,query,relevant_functions,top_1_function,top_5_functions,top_10_functions,first_relevant_rank,reciprocal_rank
bge-base,raw,q_0352,moderate,data_flow,How is the outcome of initializes table chess carried into later processing?,"[""src/init.cpp::setOccupancies::269""]",src/eval/evaluation.cpp::init_tables::22,"[""src/eval/evaluation.cpp::init_tables::22"", ""src/init.cpp::initAll::428"", ""src/hashtable.cpp::initTranspositionTable::48"", ""src/search/search.cpp::initSearchTables::54"", ""src/init.cpp::initRandomKeys::322""]","[""src/eval/evaluation.cpp::init_tables::22"", ""src/init.cpp::initAll::428"", ""src/hashtable.cpp::initTranspositionTable::48"", ""src/search/search.cpp::initSearchTables::54"", ""src/init.cpp::initRandomKeys::322"", ""src/hashtable.cpp::clearTranspositionTable::67"", ""src/init.cpp::initialiseSquaresBetween::400"", ""src/init.cpp::initLeaperPiecesAttacks::282"", ""debug_tests/game_scenario.cpp::Test::Debug::boardNonPawnMat::43"", ""src/init.cpp::initSliderAttacks::291""]",,0.0
bge-base,raw,q_0353,easy,functionality,What implementation area explains the behaviour described as initializes table chess?,"[""src/init.cpp::setOccupancies::269""]",src/eval/evaluation.cpp::init_tables::22,"[""src/eval/evaluation.cpp::init_tables::22"", ""src/init.cpp::initSliderAttacks::291"", ""src/hashtable.cpp::initTranspositionTable::48"", ""src/search/search.cpp::initSearchTables::54"", ""src/init.cpp::initAll::428""]","[""src/eval/evaluation.cpp::init_tables::22"", ""src/init.cpp::initSliderAttacks::291"", ""src/hashtable.cpp::initTranspositionTable::48"", ""src/search/search.cpp::initSearchTables::54"", ""src/init.cpp::initAll::428"", ""src/init.cpp::initLeaperPiecesAttacks::282"", ""src/init.cpp::initRandomKeys::322"", ""src/hashtable.cpp::clearTranspositionTable::67"", ""src/init.cpp::initSliderAttacks::291"", ""debug_tests/game_scenario.cpp::Test::Debug::boardNonPawnMat::43""]",,0.0
bge-base,raw,q_0354,easy,input_output,What transformation is associated with reads input checks specific commands like updates game state accordingly before a result is returned?,"[""src/UCI.cpp::handleGo::194""]",src/UCI.cpp::handlePosition::122,"[""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::UCI::238"", ""src/UCI.cpp::handlePosition::122"", ""debug_tests/game_scenario.cpp::Test::Debug::boardInCheck::27"", ""src/UCI.cpp::resetGameVariables::26""]","[""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::UCI::238"", ""src/UCI.cpp::handlePosition::122"", ""debug_tests/game_scenario.cpp::Test::Debug::boardInCheck::27"", ""src/UCI.cpp::resetGameVariables::26"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""src/UCI.cpp::handleGo::194"", ""src/hashtable.cpp::clearTranspositionTable::67"", ""src/UCI.cpp::handlePosition::122"", ""debug_tests/move_tests.cpp::Test::Debug::printMoveOrdering::50""]",7,0.14285714285714285
bge-base,raw,q_0355,moderate,data_flow,What should I trace to see where the information from takes integer representing chess input bitmask represents all possible knight is consumed?,"[""src/init.cpp::maskKnightMoves::142""]",debug_tests/bitmask_tests.cpp::Test::Debug::countKnightMoves::39,"[""debug_tests/bitmask_tests.cpp::Test::Debug::countKnightMoves::39"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countKingMoves::67"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/init.cpp::initSliderAttacks::291"", ""include/inline_functions.h::getRookAttacks::66""]","[""debug_tests/bitmask_tests.cpp::Test::Debug::countKnightMoves::39"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countKingMoves::67"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/init.cpp::initSliderAttacks::291"", ""include/inline_functions.h::getRookAttacks::66"", ""src/init.cpp::maskKingMoves::162"", ""src/init.cpp::maskPawnAttacks::123"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countPawnAttacks::17"", ""src/init.cpp::maskKnightMoves::142"", ""src/eval/evaluation.cpp::evaluate::35""]",9,0.1111111111111111
bge-base,raw,q_0356,difficult,state_transition,Where should I investigate how takes two parameters generates random moves using class counts number prepares or changes state before the next stage?,"[""benchmark_tests/perft_tests.cpp::Test::BenchMark::perftDriver::36""]",debug_tests/move_tests.cpp::Test::Debug::moveSorting::20,"[""debug_tests/move_tests.cpp::Test::Debug::moveSorting::20"", ""src/init.cpp::initRandomKeys::322"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countPawnAttacks::17"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countKingMoves::67"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countBishopMoves_noEdges::94""]","[""debug_tests/move_tests.cpp::Test::Debug::moveSorting::20"", ""src/init.cpp::initRandomKeys::322"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countPawnAttacks::17"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countKingMoves::67"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countBishopMoves_noEdges::94"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countRookMoves_noEdges::105"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countKnightMoves::39"", ""debug_tests/see_tests.cpp::Test::Debug::see_test::15"", ""debug_tests/move_tests.cpp::Test::Debug::printMoveOrdering::50"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countKnightMoves::39""]",,0.0
bge-base,raw,q_0357,easy,functionality,What implementation area explains the behaviour described as calculates number rook xray attacks checking all possible moves each?,"[""include/inline_functions.h::getRookXrayAttacks::74""]",src/init.cpp::initSliderAttacks::291,"[""src/init.cpp::initSliderAttacks::291"", ""include/inline_functions.h::getRookAttacks::66"", ""src/init.cpp::rookAttacksOnTheFly::241"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countKingMoves::67"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countKnightMoves::39""]","[""src/init.cpp::initSliderAttacks::291"", ""include/inline_functions.h::getRookAttacks::66"", ""src/init.cpp::rookAttacksOnTheFly::241"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countKingMoves::67"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countKnightMoves::39"", ""include/inline_functions.h::getRookXrayAttacks::74"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countPawnAttacks::17"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/init.cpp::maskPawnAttacks::123"", ""src/search/see.cpp::see::14""]",6,0.16666666666666666
bge-base,raw,q_0358,difficult,error_handling,Where should I look if takes input calculates white black composed several pawn structure mobility produces an unexpected or unusable result?,"[""src/eval/evaluation.cpp::evaluate::35""]",src/eval/evaluation.cpp::evaluate::35,"[""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/search/see.cpp::see::14""]","[""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/search/see.cpp::see::14"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/search/see.cpp::see::14"", ""src/search/see.cpp::see::14"", ""src/search/see.cpp::see::14""]",1,1.0
bge-base,raw,q_0359,moderate,data_flow,Where does information from prints list moves bit go before it is consumed?,"[""src/misc.cpp::printMovesList::122""]",debug_tests/move_tests.cpp::Test::Debug::moveSorting::20,"[""debug_tests/move_tests.cpp::Test::Debug::moveSorting::20"", ""src/misc.cpp::printMovesList::122"", ""debug_tests/move_tests.cpp::Test::Debug::printMoveOrdering::50"", ""benchmark_tests/perft_tests.cpp::Test::BenchMark::perft::60"", ""src/misc.cpp::printBitBoard::27""]","[""debug_tests/move_tests.cpp::Test::Debug::moveSorting::20"", ""src/misc.cpp::printMovesList::122"", ""debug_tests/move_tests.cpp::Test::Debug::printMoveOrdering::50"", ""benchmark_tests/perft_tests.cpp::Test::BenchMark::perft::60"", ""src/misc.cpp::printBitBoard::27"", ""src/UCI.cpp::handlePosition::122"", ""debug_tests/move_tests.cpp::Test::Debug::printMoveOrdering::50"", ""src/misc.cpp::printMove::81"", ""src/UCI.cpp::handleGo::194"", ""src/UCI.cpp::handlePosition::122""]",2,0.5
bge-base,raw,q_0360,moderate,control_flow,Where should I inspect the decision that changes what happens after checking logging enables ensures application logs messages appropriately which can?,"[""src/logger/logger.cpp::isLoggingEnabled::46""]",src/logger/logger.cpp::isLoggingEnabled::46,"[""src/logger/logger.cpp::isLoggingEnabled::46"", ""debug_tests/game_scenario.cpp::Test::Debug::boardInCheck::27"", ""src/logger/logger.h::Logger::Logger::40"", ""src/logger/logger.h::Logger::Logger::40"", ""debug_tests/game_scenario.cpp::Test::Debug::boardInCheck::27""]","[""src/logger/logger.cpp::isLoggingEnabled::46"", ""debug_tests/game_scenario.cpp::Test::Debug::boardInCheck::27"", ""src/logger/logger.h::Logger::Logger::40"", ""src/logger/logger.h::Logger::Logger::40"", ""debug_tests/game_scenario.cpp::Test::Debug::boardInCheck::27"", ""debug_tests/see_tests.cpp::Test::Debug::see_test::15"", ""src/UCI.cpp::handleGo::194"", ""src/UCI.cpp::handleOption::66"", ""src/hashtable.cpp::recordHash::114"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countPawnAttacks::17""]",1,1.0
bge-base,raw,q_0361,moderate,data_flow,How does swaps colours all pieces reseting occ occurrences both black white become the resulting state across the code?,"[""debug_tests/evaluation_tests.cpp::swapColours::33""]",debug_tests/evaluation_tests.cpp::swapColours::33,"[""debug_tests/evaluation_tests.cpp::swapColours::33"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""src/search/see.cpp::see::14"", ""src/search/see.cpp::see::14"", ""src/UCI.cpp::resetGameVariables::26""]","[""debug_tests/evaluation_tests.cpp::swapColours::33"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""src/search/see.cpp::see::14"", ""src/search/see.cpp::see::14"", ""src/UCI.cpp::resetGameVariables::26"", ""debug_tests/game_scenario.cpp::Test::Debug::boardInCheck::27"", ""src/hashtable.cpp::clearTranspositionTable::67"", ""src/init.cpp::initLeaperPiecesAttacks::282"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countPawnAttacks::17"", ""benchmark_tests/perft_tests.cpp::Test::BenchMark::perft::60""]",1,1.0
bge-base,raw,q_0362,easy,functionality,Which part of the code is responsible for initializes evaluation tables chess pieces squares flipping white match endianness?,"[""src/eval/evaluation.cpp::init_tables::22""]",src/eval/evaluation.cpp::init_tables::22,"[""src/eval/evaluation.cpp::init_tables::22"", ""src/init.cpp::initLeaperPiecesAttacks::282"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""src/init.cpp::initialiseSquaresBetween::400"", ""debug_tests/evaluation_tests.cpp::flipVertical::16""]","[""src/eval/evaluation.cpp::init_tables::22"", ""src/init.cpp::initLeaperPiecesAttacks::282"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""src/init.cpp::initialiseSquaresBetween::400"", ""debug_tests/evaluation_tests.cpp::flipVertical::16"", ""debug_tests/game_scenario.cpp::Test::Debug::boardNonPawnMat::43"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::flip::17"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/init.cpp::initRandomKeys::322""]",1,1.0
bge-base,raw,q_0363,difficult,reasoning,What would break if the relationship between takes input calculates white black composed several pawn structure mobility and pop least significant bit integer changed?,"[""src/eval/evaluation.cpp::evaluate::35"", ""include/inline_functions.h::pop_lsb::36""]",src/eval/evaluation.cpp::evaluate::35,"[""src/eval/evaluation.cpp::evaluate::35"", ""src/search/see.cpp::see::14"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/search/see.cpp::see::14"", ""src/eval/evaluation.cpp::evaluate::35""]","[""src/eval/evaluation.cpp::evaluate::35"", ""src/search/see.cpp::see::14"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/search/see.cpp::see::14"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/search/see.cpp::see::14"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countKingMoves::67"", ""src/eval/evaluation.cpp::evaluate::35"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54""]",1,1.0
bge-base,raw,q_0364,moderate,data_flow,What intermediate representation connects generates attack bitboard each looping through all possible rows columns with the eventual result?,"[""src/init.cpp::rookAttacksOnTheFly::241""]",src/init.cpp::bishopAttacksOnTheFly::213,"[""src/init.cpp::bishopAttacksOnTheFly::213"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/init.cpp::initSliderAttacks::291"", ""src/search/see.cpp::see::14"", ""include/inline_functions.h::getRookAttacks::66""]","[""src/init.cpp::bishopAttacksOnTheFly::213"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/init.cpp::initSliderAttacks::291"", ""src/search/see.cpp::see::14"", ""include/inline_functions.h::getRookAttacks::66"", ""src/init.cpp::rookAttacksOnTheFly::241"", ""src/hashtable.cpp::generateHashKey::26"", ""include/inline_functions.h::getBishopAttacks::52"", ""include/inline_functions.h::getRookXrayAttacks::74"", ""include/inline_functions.h::getBishopXrayAttacks::60""]",6,0.16666666666666666
bge-base,raw,q_0365,moderate,dependencies,What supporting operation enables initializes chess engine performing several key steps prepare gameplay sets to complete?,"[""src/init.cpp::initAll::428"", ""src/init.cpp::initLeaperPiecesAttacks::282""]",src/init.cpp::initLeaperPiecesAttacks::282,"[""src/init.cpp::initLeaperPiecesAttacks::282"", ""src/search/search.cpp::initSearchTables::54"", ""src/init.cpp::initSliderAttacks::291"", ""src/init.cpp::initRandomKeys::322"", ""src/UCI.cpp::resetGameVariables::26""]","[""src/init.cpp::initLeaperPiecesAttacks::282"", ""src/search/search.cpp::initSearchTables::54"", ""src/init.cpp::initSliderAttacks::291"", ""src/init.cpp::initRandomKeys::322"", ""src/UCI.cpp::resetGameVariables::26"", ""src/init.cpp::initAll::428"", ""src/eval/evaluation.cpp::init_tables::22"", ""debug_tests/game_scenario.cpp::Test::Debug::boardNonPawnMat::43"", ""debug_tests/game_scenario.cpp::Test::Debug::gameScenario::21"", ""src/init.cpp::initEvaluationMasks::358""]",1,1.0
bge-base,raw,q_0366,easy,functionality,What implementation area explains the behaviour described as takes parameters hash table these also stores best found far?,"[""src/hashtable.cpp::probeHash::81""]",src/hashtable.cpp::recordHash::114,"[""src/hashtable.cpp::recordHash::114"", ""src/hashtable.cpp::generateHashKey::26"", ""src/hashtable.cpp::checkHashOccupancy::132"", ""debug_tests/move_tests.cpp::Test::Debug::printMoveOrdering::50"", ""src/hashtable.cpp::recordHash::114""]","[""src/hashtable.cpp::recordHash::114"", ""src/hashtable.cpp::generateHashKey::26"", ""src/hashtable.cpp::checkHashOccupancy::132"", ""debug_tests/move_tests.cpp::Test::Debug::printMoveOrdering::50"", ""src/hashtable.cpp::recordHash::114"", ""src/hashtable.cpp::probeHash::81"", ""src/hashtable.cpp::initTranspositionTable::48"", ""benchmark_tests/perft_tests.cpp::Test::BenchMark::perft::60"", ""src/init.cpp::initSliderAttacks::291"", ""include/inline_functions.h::getRookAttacks::66""]",6,0.16666666666666666
bge-base,raw,q_0367,difficult,state_transition,What part of the implementation controls the transition associated with calculates number squares between two positions chess considering type whether?,"[""src/init.cpp::bishopAttacksOnTheFly::213""]",src/search/see.cpp::see::14,"[""src/search/see.cpp::see::14"", ""src/misc.cpp::parseMove::135"", ""src/search/see.cpp::see::14"", ""src/init.cpp::initialiseSquaresBetween::400"", ""src/eval/evaluation.cpp::evaluate::35""]","[""src/search/see.cpp::see::14"", ""src/misc.cpp::parseMove::135"", ""src/search/see.cpp::see::14"", ""src/init.cpp::initialiseSquaresBetween::400"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/init.cpp::initSliderAttacks::291"", ""src/init.cpp::initLeaperPiecesAttacks::282"", ""src/init.cpp::initSliderAttacks::291"", ""debug_tests/game_scenario.cpp::Test::Debug::boardNonPawnMat::43"", ""src/hashtable.cpp::clearTranspositionTable::67""]",,0.0
bge-base,raw,q_0368,moderate,data_flow,How is the outcome of class takes input parses chess state parsed formatted rows squares carried into later processing?,"[""include/board.h::Board::Board::34""]",src/UCI.cpp::handlePosition::122,"[""src/UCI.cpp::handlePosition::122"", ""debug_tests/see_tests.cpp::Test::Debug::see_test::15"", ""src/UCI.cpp::handlePosition::122"", ""src/misc.cpp::parseMove::135"", ""src/UCI.cpp::handlePosition::122""]","[""src/UCI.cpp::handlePosition::122"", ""debug_tests/see_tests.cpp::Test::Debug::see_test::15"", ""src/UCI.cpp::handlePosition::122"", ""src/misc.cpp::parseMove::135"", ""src/UCI.cpp::handlePosition::122"", ""debug_tests/game_scenario.cpp::Test::Debug::boardInCheck::27"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/UCI.cpp::handlePosition::122"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::evaluate::35""]",,0.0
bge-base,raw,q_0369,moderate,dependencies,What lower-level capability does handles user input such moves positions processes them accordingly uses rely on?,"[""include/move.h::Move::Move::27"", ""src/UCI.cpp::handlePosition::122""]",src/UCI.cpp::handlePosition::122,"[""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::handleGo::194""]","[""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::handleGo::194"", ""src/UCI.cpp::handleOption::103"", ""include/move.h::Move::Move::29"", ""src/hashtable.cpp::initTranspositionTable::48"", ""debug_tests/move_tests.cpp::Test::Debug::moveSorting::20"", ""src/UCI.cpp::handleGo::194""]",1,1.0
bge-base,raw,q_0370,difficult,reasoning,What design responsibility is shared by allocates memory store hash corresponding positions populates structure calling another and clears hash table transposition chess resets all entries default?,"[""src/hashtable.cpp::initTranspositionTable::48"", ""src/hashtable.cpp::clearTranspositionTable::67""]",src/hashtable.cpp::clearTranspositionTable::67,"[""src/hashtable.cpp::clearTranspositionTable::67"", ""src/hashtable.cpp::initTranspositionTable::48"", ""src/hashtable.cpp::recordHash::114"", ""src/hashtable.cpp::checkHashOccupancy::132"", ""src/hashtable.cpp::generateHashKey::26""]","[""src/hashtable.cpp::clearTranspositionTable::67"", ""src/hashtable.cpp::initTranspositionTable::48"", ""src/hashtable.cpp::recordHash::114"", ""src/hashtable.cpp::checkHashOccupancy::132"", ""src/hashtable.cpp::generateHashKey::26"", ""debug_tests/move_tests.cpp::Test::Debug::printMoveOrdering::50"", ""src/hashtable.cpp::recordHash::114"", ""src/init.cpp::initSliderAttacks::291"", ""benchmark_tests/perft_tests.cpp::Test::BenchMark::perft::60"", ""src/UCI.cpp::handlePosition::122""]",1,1.0
bge-base,raw,q_0371,moderate,control_flow,What condition changes the execution path for initializes evaluation tables chess pieces squares flipping white match endianness?,"[""src/eval/evaluation.cpp::init_tables::22""]",src/eval/evaluation.cpp::init_tables::22,"[""src/eval/evaluation.cpp::init_tables::22"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""src/init.cpp::initLeaperPiecesAttacks::282"", ""debug_tests/game_scenario.cpp::Test::Debug::boardNonPawnMat::43"", ""src/init.cpp::initialiseSquaresBetween::400""]","[""src/eval/evaluation.cpp::init_tables::22"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""src/init.cpp::initLeaperPiecesAttacks::282"", ""debug_tests/game_scenario.cpp::Test::Debug::boardNonPawnMat::43"", ""src/init.cpp::initialiseSquaresBetween::400"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/search/search.cpp::initSearchTables::54"", ""src/eval/evaluation.cpp::flip::17"", ""debug_tests/evaluation_tests.cpp::flipVertical::16""]",1,1.0
bge-base,raw,q_0372,moderate,data_flow,How does parses options reading tokens input stream become the resulting state across the code?,"[""src/UCI.cpp::handleOption::103""]",src/UCI.cpp::handlePosition::122,"[""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::handleOption::103"", ""debug_tests/see_tests.cpp::Test::Debug::see_test::15"", ""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::UCI::238""]","[""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::handleOption::103"", ""debug_tests/see_tests.cpp::Test::Debug::see_test::15"", ""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::UCI::238"", ""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::handleGo::194"", ""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::handleGo::194"", ""benchmark_tests/perft_tests.cpp::Test::BenchMark::standardPerft::107""]",2,0.5
bge-base,raw,q_0373,difficult,state_transition,Where should I investigate how initializes random key generation chess engine generates each type well prepares or changes state before the next stage?,"[""src/init.cpp::initRandomKeys::322""]",src/init.cpp::initRandomKeys::322,"[""src/init.cpp::initRandomKeys::322"", ""src/hashtable.cpp::generateHashKey::26"", ""src/search/search.cpp::initSearchTables::54"", ""src/init.cpp::initLeaperPiecesAttacks::282"", ""src/init.cpp::initAll::428""]","[""src/init.cpp::initRandomKeys::322"", ""src/hashtable.cpp::generateHashKey::26"", ""src/search/search.cpp::initSearchTables::54"", ""src/init.cpp::initLeaperPiecesAttacks::282"", ""src/init.cpp::initAll::428"", ""src/init.cpp::initSliderAttacks::291"", ""src/hashtable.cpp::clearTranspositionTable::67"", ""src/UCI.cpp::resetGameVariables::26"", ""src/init.cpp::maskPawnAttacks::123"", ""src/init.cpp::maskKingMoves::162""]",1,1.0
bge-base,raw,q_0374,moderate,data_flow,What intermediate representation connects mirrors chess representation evaluates both white black pieces checks mismatches with the eventual result?,"[""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54""]",debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54,"[""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/search/see.cpp::see::14"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""debug_tests/evaluation_tests.cpp::mirrorBitboards::27""]","[""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/search/see.cpp::see::14"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""debug_tests/evaluation_tests.cpp::mirrorBitboards::27"", ""src/search/see.cpp::see::14"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/init.cpp::initLeaperPiecesAttacks::282"", ""src/eval/evaluation.cpp::evaluate::35"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54""]",1,1.0
bge-base,raw,q_0375,difficult,multi_hop,How does initializes chess engine performing several key steps prepare gameplay sets reach initializes sliding attacks tables iterates over all squares applies bitwise through an intermediate processing step?,"[""src/init.cpp::initAll::428"", ""src/init.cpp::initSliderAttacks::291"", ""src/init.cpp::initLeaperPiecesAttacks::282""]",src/init.cpp::initLeaperPiecesAttacks::282,"[""src/init.cpp::initLeaperPiecesAttacks::282"", ""src/init.cpp::initSliderAttacks::291"", ""src/eval/evaluation.cpp::init_tables::22"", ""src/init.cpp::initRandomKeys::322"", ""src/init.cpp::initSliderAttacks::291""]","[""src/init.cpp::initLeaperPiecesAttacks::282"", ""src/init.cpp::initSliderAttacks::291"", ""src/eval/evaluation.cpp::init_tables::22"", ""src/init.cpp::initRandomKeys::322"", ""src/init.cpp::initSliderAttacks::291"", ""src/search/search.cpp::initSearchTables::54"", ""src/init.cpp::initialiseSquaresBetween::400"", ""src/init.cpp::initAll::428"", ""src/search/see.cpp::see::14"", ""src/init.cpp::initEvaluationMasks::358""]",1,1.0
bge-base,raw,q_0376,difficult,state_transition,What state is established while the system performs initializes random key generation chess engine generates each type well?,"[""src/init.cpp::initRandomKeys::322""]",src/init.cpp::initRandomKeys::322,"[""src/init.cpp::initRandomKeys::322"", ""src/hashtable.cpp::generateHashKey::26"", ""src/search/search.cpp::initSearchTables::54"", ""src/init.cpp::initSliderAttacks::291"", ""src/init.cpp::initSliderAttacks::291""]","[""src/init.cpp::initRandomKeys::322"", ""src/hashtable.cpp::generateHashKey::26"", ""src/search/search.cpp::initSearchTables::54"", ""src/init.cpp::initSliderAttacks::291"", ""src/init.cpp::initSliderAttacks::291"", ""src/init.cpp::initLeaperPiecesAttacks::282"", ""src/init.cpp::initAll::428"", ""src/UCI.cpp::resetGameVariables::26"", ""src/init.cpp::maskKingMoves::162"", ""src/init.cpp::maskPawnAttacks::123""]",1,1.0
bge-base,raw,q_0377,moderate,dependencies,What does takes input calculates white black composed several pawn structure mobility need from the surrounding implementation?,"[""src/eval/evaluation.cpp::evaluate::35"", ""include/inline_functions.h::pop_lsb::36""]",src/eval/evaluation.cpp::evaluate::35,"[""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/search/see.cpp::see::14"", ""src/eval/evaluation.cpp::evaluate::35""]","[""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/search/see.cpp::see::14"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/search/see.cpp::see::14"", ""src/search/see.cpp::see::14"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""src/init.cpp::initLeaperPiecesAttacks::282""]",1,1.0
bge-base,raw,q_0378,easy,functionality,What implementation area explains the behaviour described as takes input integer representing white black?,"[""include/types.h::color::32""]",debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54,"[""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countPawnAttacks::17"", ""src/UCI.cpp::handleGo::194"", ""src/init.cpp::initSliderAttacks::291"", ""debug_tests/game_scenario.cpp::Test::Debug::boardInCheck::27""]","[""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countPawnAttacks::17"", ""src/UCI.cpp::handleGo::194"", ""src/init.cpp::initSliderAttacks::291"", ""debug_tests/game_scenario.cpp::Test::Debug::boardInCheck::27"", ""src/misc.cpp::printBitBoard::27"", ""src/init.cpp::initEvaluationMasks::358"", ""debug_tests/evaluation_tests.cpp::swapColours::33"", ""src/eval/evaluation.cpp::evaluate::35"", ""debug_tests/see_tests.cpp::Test::Debug::see_test::15""]",,0.0
